匹 [pǐ],<ruby>匹<rt>pǐ</rt></ruby>,匹,匹,pǐ,['ㄆㄧˇ'],"ordinary person; (mw for horses, bolt of cloth)",['ㄆㄧˇ'],
团 [tuán],<ruby>团<rt>tuán</rt></ruby>,团,團,tuán,['ㄊㄨㄢˊ'],round; ball; group; unite; dumpling; (mw for ball-like things),['ㄊㄨㄢˊ'],
幅 [fú],<ruby>幅<rt>fú</rt></ruby>,幅,幅,fú,['ㄈㄨˊ'],"width of cloth; size; (mw for pictures, paintings, textiles)",['ㄈㄨˊ'],
批 [pī],<ruby>批<rt>pī</rt></ruby>,批,批,pī,['ㄆㄧ'],"criticize; to comment; wholesale; (mw for batches, lots, etc.)",['ㄆㄧ'],
滴 [dī],<ruby>滴<rt>dī</rt></ruby>,滴,滴,dī,['ㄉㄧ'],to drip; drop; (mw for drops of liquid),['ㄉㄧ'],
册 [cè],<ruby>册<rt>cè</rt></ruby>,册,冊,cè,['ㄘㄜˋ'],book; (mw for books),['ㄘㄜˋ'],
届 [jiè],<ruby>届<rt>jiè</rt></ruby>,届,屆,jiè,['ㄐㄧㄝˋ'],arrive at; period; session; (mw for events; meetings; etc.),['ㄐㄧㄝˋ'],
朵 [duǒ],<ruby>朵<rt>duǒ</rt></ruby>,朵,朵,duǒ,['ㄉㄨㄛˇ'],(mw for flowers and clouds),['ㄉㄨㄛˇ'],
壶 [hú],<ruby>壶<rt>hú</rt></ruby>,壶,壺,hú,['ㄏㄨˊ'],pot; kettle; jug; (mw for bottled liquids),['ㄏㄨˊ'],
卷 [juǎn],<ruby>卷<rt>juǎn</rt></ruby>,卷,卷,juǎn,['ㄐㄩㄢˇ'],to roll (up); to coil; (mw for tapes) | rolled document; file,['ㄐㄩㄢˇ'],
卷 [juàn],<ruby>卷<rt>juàn</rt></ruby>,卷,卷,juàn,['ㄐㄩㄢˋ'],to roll (up); to coil; (mw for tapes) | rolled document; file,['ㄐㄩㄢˋ'],
艘 [sōu],<ruby>艘<rt>sōu</rt></ruby>,艘,艘,sōu,['ㄙㄡ'],(mw for boats and ships),['ㄙㄡ'],
栋 [dòng],<ruby>栋<rt>dòng</rt></ruby>,栋,棟,dòng,['ㄉㄨㄥˋ'],roof beam; (mw for buildings),['ㄉㄨㄥˋ'],
枚 [méi],<ruby>枚<rt>méi</rt></ruby>,枚,枚,méi,['ㄇㄟˊ'],"(mw for coins, rings, medals)",['ㄇㄟˊ'],
幢 [zhuàng],<ruby>幢<rt>zhuàng</rt></ruby>,幢,幢,zhuàng,['ㄓㄨㄤˋ'],"(mw for houses, buildings); tent | ancient pennant/streamer; Buddhist stone pillar",['ㄓㄨㄤˋ'],
幢 [chuáng],<ruby>幢<rt>chuáng</rt></ruby>,幢,幢,chuáng,['ㄔㄨㄤˊ'],"(mw for houses, buildings); tent | ancient pennant/streamer; Buddhist stone pillar",['ㄔㄨㄤˊ'],
